Numero de Ordem;Numero de Clausulas;Numero de exemplos Alvo no cubo;Numero de exemplos no cubo;Cobertura da Regra;Confianca da Regra;Lift da Regra;Significancia Estatistica da Regra;Clausula 1;Clausula 2;Clausula 3;Clausula 4
0;2;391.0;2634.0;0.05826015792616841;0.1484434320425209;1.2689120828274554;1.1914123966401026e-06;balance = (1578.5,inf];duration = (205.5, 521.5] ;pdays = (-inf,8.5];
0;2;119.0;3178.0;0.07029262790028976;0.037444933920704845;0.32008374125335354;1.8906267082692403e-57;balance = (60.5, 798.5];duration = (129.5, 205.5] ;pdays = (-inf,8.5];
0;2;67.0;3477.0;0.07690606268386012;0.01926948518838079;0.16471784739116732;1.4906052852630043e-104;balance = (60.5, 798.5];duration = (60.5, 129.5] ;pdays = (-inf,8.5];
0;1;761.0;3509.0;0.07761385503527903;0.21687090339127957;1.8538382327894007;8.977605877379369e-63;balance = (1578.5,inf];duration = (205.5, 521.5];;
0;1;78.0;2327.0;0.051469775054743316;0.0335195530726257;0.286529119676022;1.6338786284572206e-47;balance = (1578.5,inf];duration = (60.5, 129.5];;
0;1;206.0;2328.0;0.05149189356572516;0.08848797250859107;0.7564056957999453;1.1251182878676227e-05;balance = (-inf,60.5];duration = (205.5, 521.5];;
0;1;825.0;5815.0;0.1286191413594037;0.1418744625967326;1.2127597520251232;9.565995902777136e-09;balance = (60.5, 798.5];duration = (205.5, 521.5];;
0;1;235.0;3903.0;0.08632854836212427;0.06021009479887266;0.5146830395068693;3.484273238343757e-33;balance = (60.5, 798.5];duration = (129.5, 205.5];;
0;1;109.0;4178.0;0.09241113888213046;0.026089037817137388;0.2230121929950082;6.101334195649464e-104;balance = (60.5, 798.5];duration = (60.5, 129.5];;
0;0;1718.0;10444.0;0.2310057286943443;0.16449636154729988;1.4061344303110181;9.842174893018748e-47;balance = (1578.5,inf];;;
0;0;594.0;7628.0;0.16872000176948088;0.07787100157315155;0.6656505676165163;3.4127101421427335e-29;balance = (-inf,60.5];;;
0;0;166.0;3193.0;0.07062440556501737;0.05198872533667397;0.44440579716323825;1.3900532652170104e-36;balance = (-8019.001, -46.5];;;
1;3;57.0;2397.0;0.053018070823472166;0.023779724655819776;0.20327190989114538;3.722771960913424e-64;duration = (205.5, 521.5];pdays = (-inf,8.5] ;month = may ;day = (4.5, 16.5]
1;2;144.0;4010.0;0.08869522903718122;0.035910224438902745;0.3069648623761074;2.2259011530861324e-75;duration = (205.5, 521.5];pdays = (-inf,8.5] ;month = may;
1;2;19.0;2586.0;0.05719846939904006;0.007347254447022429;0.06280520340410872;4.595184359166815e-109;duration = (129.5, 205.5];pdays = (-inf,8.5] ;month = may;
1;2;4.0;2310.0;0.05109376036805202;0.0017316017316017316;0.0148019372069287;1.0187056141623877e-116;duration = (60.5, 129.5];month = may ;pdays = (-inf,8.5];
1;2;1214.0;2579.0;0.057043639822167175;0.4707250872431175;4.023813938239476;0.0;duration = (521.5,inf];pdays = (-inf,8.5] ;contact = cellular;
1;1;343.0;8016.0;0.17730198403043507;0.04278942115768463;0.36576905274344484;6.685176279061074e-121;duration = (129.5, 205.5];pdays = (-inf,8.5];;
1;1;8.0;2822.0;0.062418437990754465;0.002834868887313962;0.024232795852590572;4.848300872340263e-137;duration = (60.5, 129.5];month = may;;
1;1;3.0;2502.0;0.05534051447656544;0.001199040767386091;0.010249542850121491;6.639364362240336e-129;duration = (-inf,60.5];age = (37.5, 58.5];;
1;1;1723.0;4121.0;0.09115038375616553;0.41810240232953166;3.5739889793383357;0.0;duration = (521.5,inf];pdays = (-inf,8.5];;
1;0;2179.0;14841.0;0.3282608214814979;0.1468229903645307;1.2550603549576096;8.020575422240364e-28;duration = (205.5, 521.5];;;
1;0;669.0;9866.0;0.21822122934684038;0.06780863571862963;0.5796362695169152;6.130860259121561e-60;duration = (129.5, 205.5];;;
1;0;249.0;10765.0;0.23810577071951516;0.02313051555968416;0.19772239345223683;4.520687668213338e-288;duration = (60.5, 129.5];;;
1;0;9.0;4766.0;0.10541682333945279;0.0018883759966428872;0.01614206223940661;2.4112559413850145e-238;duration = (-inf,60.5];;;
